Eastern Washington University,Football,D1,Big Sky
Northern Arizona University,Football,D1,Big Sky
Iowa State University,Football,D1,Big 12
University of Houston,Football,D1,Big 12
University of Central Florida,Football,D1,Big 12
Brigham Young University,Football,D1,Big 12
West Virginia University,Football,D1,Big 12
University of Wyoming,Football,D1,Mountain West
Utah State University,Football,D1,Mountain West
University of Nevada Reno,Football,D1,Mountain West
University of New Mexico,Football,D1,Mountain West
Northern Illinois University,Football,D1,Mid-American Conference
University of Akron,Football,D1,Mid-American Conference
Bowling Green State University,Football,D1,Mid-American Conference
Kent State University,Football,D1,Mid-American Conference
University of Massachusetts Amherst,Football,D1,Mid-American Conference
Texas State University,Football,D1,Sun Belt
University of Louisiana at Lafayette,Football,D1,Sun Belt
University of Louisiana at Monroe,Football,D1,Sun Belt
Middle Tennessee State University,Football,D1,Conference USA
Sam Houston State University,Football,D1,Conference USA
Jacksonville State University,Football,D1,Conference USA
Kennesaw State University,Football,D1,Conference USA
University of Delaware,Football,D1,Conference USA
New Mexico State University,Football,D1,Conference USA
University of Texas at El Paso,Football,D1,Conference USA
Lehigh University,Football,D1,Patriot League
Lafayette College,Football,D1,Patriot League
College of the Holy Cross,Football,D1,Patriot League
Colgate University,Football,D1,Patriot League
South Dakota State University,Football,D1,Missouri Valley Football Conference
University of North Dakota,Football,D1,Missouri Valley Football Conference
University of South Dakota,Football,D1,Missouri Valley Football Conference
University of Northern Iowa,Football,D1,Missouri Valley Football Conference
Illinois State University,Football,D1,Missouri Valley Football Conference
Indiana State University,Football,D1,Missouri Valley Football Conference
Murray State University,Football,D1,Missouri Valley Football Conference
Furman University,Football,D1,Southern Conference
Wofford College,Football,D1,Southern Conference
The Citadel,Football,D1,Southern Conference
Mercer University,Football,D1,Southern Conference
Western Carolina University,Football,D1,Southern Conference
Virginia Military Institute,Football,D1,Southern Conference
The College of William and Mary,Football,D1,Coastal Athletic Association
Towson University,Football,D1,Coastal Athletic Association
University of Richmond,Football,D1,Coastal Athletic Association
Stony Brook University,Football,D1,Coastal Athletic Association
Hampton University,Football,D1,Coastal Athletic Association
Bryant University,Football,D1,Coastal Athletic Association
Villanova University,Football,D1,Coastal Athletic Association
Tennessee State University,Football,D1,Ohio Valley Conference
Tennessee Tech University,Football,D1,Ohio Valley Conference
Eastern Illinois University,Football,D1,Ohio Valley Conference
University of Tennessee at Martin,Football,D1,Ohio Valley Conference
Lindenwood University,Football,D1,Ohio Valley Conference
Western Illinois University,Football,D1,Ohio Valley Conference
Florida A&M University,Football,D1,SWAC
Jackson State University,Football,D1,SWAC
Southern University,Football,D1,SWAC
Grambling State University,Football,D1,SWAC
Bethune-Cookman University,Football,D1,SWAC
Alabama State University,Football,D1,SWAC
Alabama A&M University,Football,D1,SWAC
Prairie View A&M University,Football,D1,SWAC
Texas Southern University,Football,D1,SWAC
Mississippi Valley State University,Football,D1,SWAC
University of Arkansas at Pine Bluff,Football,D1,SWAC
Howard University,Football,D1,MEAC
Norfolk State University,Football,D1,MEAC
North Carolina A&T State University,Football,D1,MEAC
South Carolina State University,Football,D1,MEAC
Delaware State University,Football,D1,MEAC
University of Idaho,Football,D1,Big Sky
Idaho State University,Football,D1,Big Sky
Portland State University,Football,D1,Big Sky
California Polytechnic State University,Football,D1,Big Sky
University of California Davis,Football,D1,Big Sky
Weber State University,Football,D1,Big Sky
University of Northern Colorado,Football,D1,Big Sky
Sacramento State University,Football,D1,Big Sky
McNeese State University,Football,D1,Southland Conference
Nicholls State University,Football,D1,Southland Conference
Southeastern Louisiana University,Football,D1,Southland Conference
Northwestern State University,Football,D1,Southland Conference
Lamar University,Football,D1,Southland Conference
Houston Christian University,Football,D1,Southland Conference
University of the Incarnate Word,Football,D1,Southland Conference
East Texas A&M University,Football,D1,Southland Conference
Stephen F. Austin State University,Football,D1,United Athletic Conference
Tarleton State University,Football,D1,United Athletic Conference
University of North Alabama,Football,D1,United Athletic Conference
Eastern Kentucky University,Football,D1,United Athletic Conference
Austin Peay State University,Football,D1,United Athletic Conference
Abilene Christian University,Football,D1,United Athletic Conference
Southern Utah University,Football,D1,United Athletic Conference
Drake University,Football,D1,Pioneer Football League
University of Dayton,Football,D1,Pioneer Football League
Valparaiso University,Football,D1,Pioneer Football League
Butler University,Football,D1,Pioneer Football League
Morehead State University,Football,D1,Pioneer Football League
Stetson University,Football,D1,Pioneer Football League
Davidson College,Football,D1,Pioneer Football League
Presbyterian College,Football,D1,Pioneer Football League
Charleston Southern University,Football,D1,Big South Conference
Gardner-Webb University,Football,D1,Big South Conference
Robert Morris University,Football,D1,Big South Conference
Wagner College,Football,D1,Northeast Conference
Duquesne University,Football,D1,Northeast Conference
Saint Francis University,Football,D1,Northeast Conference
Sacred Heart University,Football,D1,Northeast Conference
Stonehill College,Football,D1,Northeast Conference
Long Island University,Football,D1,Northeast Conference
Merrimack College,Football,D1,Northeast Conference
Indiana University of Pennsylvania,Football,D2,PSAC
Shippensburg University,Football,D2,PSAC
Lenoir-Rhyne University,Football,D2,South Atlantic Conference
Wingate University,Football,D2,South Atlantic Conference
Carson-Newman University,Football,D2,South Atlantic Conference
Catawba College,Football,D2,South Atlantic Conference
Mars Hill University,Football,D2,South Atlantic Conference
Limestone University,Football,D2,South Atlantic Conference
Lincoln Memorial University,Football,D2,South Atlantic Conference
Capital University,Football,D3,Ohio Athletic Conference
Heidelberg University,Football,D3,Ohio Athletic Conference
Baldwin Wallace University,Football,D3,Ohio Athletic Conference
University of the Cumberlands,Football,NAIA,Mid-South Conference